Name,Variable,Value
R. Ruidiaz,Goals,89
F. Montero,Goals,36
W. Bruin,Goals,115
K. Rowe,Goals,5
Joao Paulo,Goals,15
A. Roldan,Goals,5
C. Roldan,Goals,31
J. Atencio,Goals,0
R. Ruidiaz,SOT %,41
F. Montero,SOT %,48
W. Bruin,SOT %,33
K. Rowe,SOT %,18
Joao Paulo,SOT %,39
A. Roldan,SOT %,2
C. Roldan,SOT %,26
J. Atencio,SOT %,66
R. Ruidiaz,Pass %,83
F. Montero,Pass %,74
W. Bruin,Pass %,60
K. Rowe,Pass %,77
Joao Paulo,Pass %,82
A. Roldan,Pass %,82
C. Roldan,Pass %,80
J. Atencio,Pass %,81
R. Ruidiaz,Assist,7
F. Montero,Assist,42
W. Bruin,Assist,28
K. Rowe,Assist,21
Joao Paulo,Assist,78
A. Roldan,Assist,14
C. Roldan,Assist,1
J. Atencio,Assist,28
