Category,Materials Collected for Recycling (tons),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
C&D,"Ash, Sand & Dust","10,000","12,333",290,"10,576","40,409","14,588","4,008","2,521", -   ,344,"20,364", -   , -   , -   , -   , -   , -   , -   , -   
C&D,Asphalt & Concrete,"893,218","1,116,871","1,451,959","1,600,288","2,002,171","1,783,418","2,295,278","2,089,972","1,510,051","2,186,429","2,188,200","2,211,889","1,887,580","2,196,139","2,389,936","2,109,809","2,387,249","2,736,136","2,989,272"
C&D,Carpet & Pad,97,820,148,258,304,186,897,"1,193","3,297","3,317","3,867","3,653","2,420","4,341","7,461","2,313","2,114","3,141","2,109"
C&D,Construction & Demolition Debris,"376,684","131,922","131,701","143,844","166,325","521,087","300,820","302,089","339,066","302,836","269,603","271,716","399,209","343,523","233,608","464,403","437,858","434,197","596,110"
C&D,Gypsum,"36,692","29,883","51,089","76,946","35,648","56,618","62,482","52,767","86,603","38,662","30,882","39,902","86,902","110,228","77,364","63,737","69,981","56,669","54,980"
C&D,Landclearing Debris, -   ,"151,464","286,201","160,158","268,486","475,015","258,563","168,007","169,428","162,939","150,287","160,086","171,962","144,765","164,662","253,153","189,859","118,540","168,547"
C&D,Roofing Material,"14,412","11,727","13,825","6,493","8,186","2,353","9,120","10,188","10,205","10,872","14,518","15,470","13,021","10,899","8,272","15,612","13,108","29,808","11,817"
C&D,Wood Waste,"215,211","538,242","394,261","208,920","257,495","351,855","289,612","228,146","381,866","200,980","347,137","178,403","244,907","167,002","198,487","187,275","195,626","210,732","169,607"
Glass,Container Glass,"84,062","81,632","64,937","74,126","81,405","82,773","90,992","96,934","94,077","100,823","113,128","116,111","141,280","103,913","112,212","116,313","145,404","146,065","78,533"
Glass,Other Glass, -   , -   ,"2,364","2,976","2,253","4,870","5,404","1,706", -   ,"1,750","2,390","1,230","3,661","1,605",65, -   , -   , -   ,"9,388"
Metal,Aluminum Cans,"17,945","12,540","12,718","17,608","16,010","15,441","14,951","14,005","12,842","21,098","13,655","13,115","13,635","16,679","14,309","11,463","10,889","11,070","13,143"
Metal,Appliances/White Goods,"35,427","39,180","43,833","53,353","56,920","47,302","49,796","44,667","43,401","39,777","48,881","44,174","54,578","31,192","37,882","27,371","58,427","54,131","80,006"
Metal,Other Ferrous Metal,"357,220","254,104","432,778","709,881","866,641","974,535","1,048,885","1,009,826","1,013,552","998,721","1,332,254","1,458,201","1,370,692","1,173,097","1,069,075","1,153,167","1,108,244","1,336,616","1,311,282"
Metal,Other Nonferrous Metal,"51,273","41,615","61,240","114,604","99,317","122,490","135,976","115,718","94,340","142,931","123,680","146,164","121,711","175,792","195,150","150,564","100,481","127,198","143,012"
Metal,Steel Cans,"22,632","11,483","9,417","9,492","10,082","12,133","13,936","22,315","10,526","17,293","15,060","17,975","15,306","19,552","17,326","14,614","13,798","14,235","14,534"
MRW,Antifreeze,"2,475","4,157","4,506","4,722","8,050","8,767","7,507","7,055","6,586","5,194","4,783","4,872","6,797","4,804","4,955","4,390","3,846","3,347","3,633"
MRW,Auto Lead Acid Batteries,"10,757","16,297","12,158","18,780","25,518","28,903","25,414","25,734","25,219","21,493","26,986","27,297","23,356","21,744","19,198","17,581","19,884","17,127","15,960"
MRW,Electronics,255,317,"1,414","3,587","6,568","8,534","11,386","12,325","17,265","22,190","25,569","31,148","38,237","32,694","37,068","33,175","24,105","19,965","17,813"
MRW,Household Batteries,39,38,333,143,149,294,"1,350","1,755","2,270",535,458,465,402,819,473,702,918,693,907
MRW,Light Bulbs,160,346,417,772,732,729,"1,063",979,"1,600","1,229","1,087","1,096","1,398","1,286","1,553","1,259","1,692","1,794",989
MRW,Oil Filters,835,"5,942","5,023","1,750","3,719","2,721","2,189","2,635","2,639","2,535","1,775","2,229","3,544","1,781","2,359","1,083","6,658","1,535","2,638"
MRW,Other Batteries,738, -   ,5,30,29, -   , -   , -   , -   ,99,1,"1,620","1,582","1,806","1,970","2,214",625,682,86
