Category,Materials Collected for Recycling,Year,Annual Tonnage
C&D,"Ash, Sand & Dust",2000,10000
C&D,"Ash, Sand & Dust",2001,12333
C&D,"Ash, Sand & Dust",2002,290
C&D,"Ash, Sand & Dust",2003,10576
C&D,"Ash, Sand & Dust",2004,40409
C&D,"Ash, Sand & Dust",2005,14588
C&D,"Ash, Sand & Dust",2006,4008
C&D,"Ash, Sand & Dust",2007,2521
C&D,"Ash, Sand & Dust",2008,    
C&D,"Ash, Sand & Dust",2009,344
C&D,"Ash, Sand & Dust",2010,20364
C&D,"Ash, Sand & Dust",2011,    
C&D,"Ash, Sand & Dust",2012,    
C&D,"Ash, Sand & Dust",2013,    
C&D,"Ash, Sand & Dust",2014,    
C&D,"Ash, Sand & Dust",2015,    
C&D,"Ash, Sand & Dust",2016,    
C&D,"Ash, Sand & Dust",2017,    
C&D,"Ash, Sand & Dust",2018,    
C&D,Asphalt & Concrete,2000,893218
C&D,Asphalt & Concrete,2001,1116871
C&D,Asphalt & Concrete,2002,1451959
C&D,Asphalt & Concrete,2003,1600288
C&D,Asphalt & Concrete,2004,2002171
C&D,Asphalt & Concrete,2005,1783418
C&D,Asphalt & Concrete,2006,2295278
C&D,Asphalt & Concrete,2007,2089972
C&D,Asphalt & Concrete,2008,1510051
C&D,Asphalt & Concrete,2009,2186429
C&D,Asphalt & Concrete,2010,2188200
C&D,Asphalt & Concrete,2011,2211889
C&D,Asphalt & Concrete,2012,1887580
C&D,Asphalt & Concrete,2013,2196139
C&D,Asphalt & Concrete,2014,2389936
C&D,Asphalt & Concrete,2015,2109809
C&D,Asphalt & Concrete,2016,2387249
C&D,Asphalt & Concrete,2017,2736136
C&D,Asphalt & Concrete,2018,2989272
C&D,Carpet & Pad,2000,97
C&D,Carpet & Pad,2001,820
C&D,Carpet & Pad,2002,148
C&D,Carpet & Pad,2003,258
C&D,Carpet & Pad,2004,304
C&D,Carpet & Pad,2005,186
C&D,Carpet & Pad,2006,897
C&D,Carpet & Pad,2007,1193
C&D,Carpet & Pad,2008,3297
C&D,Carpet & Pad,2009,3317
C&D,Carpet & Pad,2010,3867
C&D,Carpet & Pad,2011,3653
C&D,Carpet & Pad,2012,2420
C&D,Carpet & Pad,2013,4341
C&D,Carpet & Pad,2014,7461
C&D,Carpet & Pad,2015,2313
C&D,Carpet & Pad,2016,2114
C&D,Carpet & Pad,2017,3141
C&D,Carpet & Pad,2018,2109
C&D,Construction & Demolition Debris,2000,376684
C&D,Construction & Demolition Debris,2001,131922
C&D,Construction & Demolition Debris,2002,131701
C&D,Construction & Demolition Debris,2003,143844
C&D,Construction & Demolition Debris,2004,166325
C&D,Construction & Demolition Debris,2005,521087
C&D,Construction & Demolition Debris,2006,300820
C&D,Construction & Demolition Debris,2007,302089
C&D,Construction & Demolition Debris,2008,339066
C&D,Construction & Demolition Debris,2009,302836
C&D,Construction & Demolition Debris,2010,269603
C&D,Construction & Demolition Debris,2011,271716
C&D,Construction & Demolition Debris,2012,399209
C&D,Construction & Demolition Debris,2013,343523
C&D,Construction & Demolition Debris,2014,233608
C&D,Construction & Demolition Debris,2015,464403
C&D,Construction & Demolition Debris,2016,437858
C&D,Construction & Demolition Debris,2017,434197
C&D,Construction & Demolition Debris,2018,596110
C&D,Gypsum,2000,36692
C&D,Gypsum,2001,29883
C&D,Gypsum,2002,51089
C&D,Gypsum,2003,76946
C&D,Gypsum,2004,35648
C&D,Gypsum,2005,56618
C&D,Gypsum,2006,62482
C&D,Gypsum,2007,52767
C&D,Gypsum,2008,86603
C&D,Gypsum,2009,38662
C&D,Gypsum,2010,30882
C&D,Gypsum,2011,39902
C&D,Gypsum,2012,86902
C&D,Gypsum,2013,110228
C&D,Gypsum,2014,77364
C&D,Gypsum,2015,63737
C&D,Gypsum,2016,69981
C&D,Gypsum,2017,56669
C&D,Gypsum,2018,54980
C&D,Landclearing Debris,2000,    
C&D,Landclearing Debris,2001,151464
C&D,Landclearing Debris,2002,286201
C&D,Landclearing Debris,2003,160158
C&D,Landclearing Debris,2004,268486
C&D,Landclearing Debris,2005,475015
C&D,Landclearing Debris,2006,258563
C&D,Landclearing Debris,2007,168007
C&D,Landclearing Debris,2008,169428
C&D,Landclearing Debris,2009,162939
C&D,Landclearing Debris,2010,150287
C&D,Landclearing Debris,2011,160086
